period,draw_date,bonus_name,num1,num2,num3,num4,num5,num6,num7,num8,num9
101000006,2012/1/20,?亦??Ⅳ????,8,47,18,42,41,24,,,
101000006,2012/1/20,?亦??Ⅳ????,8,18,37,15,13,2,,,
101000006,2012/1/20,?亦??Ⅳ????,8,5,47,2,30,18,,,
101000006,2012/1/20,?亦??Ⅳ????,9,2,14,36,3,48,,,
101000006,2012/1/20,?亦??Ⅳ????,9,49,48,1,26,23,,,
101000006,2012/1/20,?亦??Ⅳ????,10,16,32,20,26,30,,,
101000006,2012/1/20,?亦??Ⅳ????,10,27,25,24,36,22,,,
101000006,2012/1/20,?亦??Ⅳ????,10,31,21,12,2,28,,,
101000006,2012/1/20,?亦??Ⅳ????,11,20,17,25,10,41,,,
101000006,2012/1/20,?亦??Ⅳ????,12,35,37,47,40,29,,,
101000006,2012/1/20,?亦??Ⅳ????,13,7,48,23,18,24,,,
101000006,2012/1/20,?亦??Ⅳ????,13,19,6,8,10,2,,,
101000006,2012/1/20,?亦??Ⅳ????,15,29,46,47,38,48,,,
101000006,2012/1/20,?亦??Ⅳ????,15,1,40,6,7,33,,,
101000006,2012/1/20,?亦??Ⅳ????,15,16,3,6,29,7,,,
101000006,2012/1/20,?亦??Ⅳ????,15,36,39,1,46,43,,,
101000006,2012/1/20,?亦??Ⅳ????,16,4,34,44,13,21,,,
101000006,2012/1/20,?亦??Ⅳ????,16,19,8,24,12,3,,,
101000006,2012/1/20,?亦??Ⅳ????,16,3,44,27,2,26,,,
101000006,2012/1/20,?亦??Ⅳ????,16,41,42,43,34,28,,,
101000006,2012/1/20,?亦??Ⅳ????,17,37,10,22,1,23,,,
101000006,2012/1/20,?亦??Ⅳ????,17,45,33,38,8,22,,,
101000006,2012/1/20,?亦??Ⅳ????,18,44,28,26,30,15,,,
101000006,2012/1/20,?亦??Ⅳ????,18,13,22,28,12,23,,,
101000006,2012/1/20,?亦??Ⅳ????,18,7,28,38,14,32,,,
101000006,2012/1/20,?亦??Ⅳ????,18,12,26,43,40,45,,,
101000006,2012/1/20,?亦??Ⅳ????,20,44,3,30,4,22,,,
101000006,2012/1/20,?亦??Ⅳ????,20,25,47,45,38,33,,,
